name,birth_date,birth_card,enwiki_views_8mo,slug
Charlie Kirk,1993-10-14,8♣,43114063,charlie-kirk-birth-card
Michael Jackson,1958-08-29,10♥,14058627,michael-jackson-birth-card
Dolly Parton,1946-01-19,8♦,12887707,dolly-parton-birth-card
Cristiano Ronaldo,1985-02-05,7♠,12784690,cristiano-ronaldo-birth-card
Erling Haaland,2000-07-21,7♣,12336227,erling-haaland-birth-card
Ali Khamenei,1939-04-19,2♦,9337057,ali-khamenei-birth-card
Ansel Adams,1902-02-20,5♦,8785445,ansel-adams-birth-card
Jeffrey Epstein,1953-01-20,7♦,7756953,jeffrey-epstein-birth-card
Andy Burnham,1970-01-07,7♠,6688090,andy-burnham-birth-card
Jeff Bezos,1964-01-12,2♠,6597687,jeff-bezos-birth-card
Erika Kirk,1988-11-20,K♥,6550028,erika-kirk-birth-card
Jaafar Jackson,1996-07-25,3♣,6449014,jaafar-jackson-birth-card
Tim Curry,1946-04-19,2♦,6356163,tim-curry-birth-card
Robert Redford,1936-08-18,8♣,6277357,robert-redford-birth-card
Benjamin Netanyahu,1949-10-21,A♣,6003545,benjamin-netanyahu-birth-card
Inde Navarrette,2001-03-03,7♠,5945876,inde-navarrette-birth-card
Harry Kane,1993-07-28,K♥,5869217,harry-kane-birth-card
Jude Bellingham,2003-06-29,A♣,5675064,jude-bellingham-birth-card
Lindsey Graham,1955-07-09,6♦,5646168,lindsey-graham-birth-card
Elon Musk,1971-06-28,2♣,5600938,elon-musk-birth-card
Sydney Sweeney,1997-09-12,Q♣,5425409,sydney-sweeney-birth-card
Pete Hegseth,1980-06-06,J♦,5219061,pete-hegseth-birth-card
Ed Gein,1906-08-27,Q♥,5003545,ed-gein-birth-card
Victor Wembanyama,2004-01-04,10♠,4787702,victor-wembanyama-birth-card
Elizabeth II,1926-04-21,K♣,4759277,elizabeth-ii-birth-card
Taylor Swift,1989-12-13,5♣,4755611,taylor-swift-birth-card
Ariana Grande,1993-06-26,4♣,4668558,ariana-grande-birth-card
