name|birth_year|birth_month|birth_day|enwiki_views_8mo
Charlie Kirk|1993|10|14|43114063
Michael Jackson|1958|8|29|14058627
Dolly Parton|1946|1|19|12887707
Cristiano Ronaldo|1985|2|5|12784690
Erling Haaland|2000|7|21|12336227
Ali Khamenei|1939|4|19|9337057
Ansel Adams|1902|2|20|8785445
Jeffrey Epstein|1953|1|20|7756953
Andy Burnham|1970|1|7|6688090
Jeff Bezos|1964|1|12|6597687
Erika Kirk|1988|11|20|6550028
Jaafar Jackson|1996|7|25|6449014
Tim Curry|1946|4|19|6356163
Robert Redford|1936|8|18|6277357
Benjamin Netanyahu|1949|10|21|6003545
Inde Navarrette|2001|3|3|5945876
Harry Kane|1993|7|28|5869217
Jude Bellingham|2003|6|29|5675064
Lindsey Graham|1955|7|9|5646168
Elon Musk|1971|6|28|5600938
Sydney Sweeney|1997|9|12|5425409
Pete Hegseth|1980|6|6|5219061
Ed Gein|1906|8|27|5003545
Victor Wembanyama|2004|1|4|4787702
Elizabeth II|1926|4|21|4759277
Taylor Swift|1989|12|13|4755611
Ariana Grande|1993|6|26|4668558
Dharmendra|1935|12|8|4662651
Adolf Hitler|1889|4|20|4640771
John F. Kennedy|1917|5|29|4383283
Sam Neill|1947|9|14|4374267
Bruce Lee|1940|11|27|4363308
Jacob Elordi|1997|6|26|4342782
Jalen Brunson|1996|8|31|4228029
Charles III|1948|11|14|4226095
Barack Obama|1961|8|4|4148059
Shakira|1977|2|2|4126866
JD Vance|1984|8|2|4018990
Timothée Chalamet|1995|12|27|4015277
John F. Kennedy Jr.|1960|11|25|3975080
Folarin Balogun|2001|7|3|3953875
Ryan Gosling|1980|11|12|3953340
Keir Starmer|1962|9|2|3891592
Neymar|1992|2|5|3886836
Michael Olise|2001|12|12|3875675
Mojtaba Khamenei|1969|9|8|3833624
Jermaine Jackson|1954|12|11|3813430
Madonna|1958|8|16|3781462
James A. Garfield|1831|11|19|3772863
Keanu Reeves|1964|9|2|3758171
Kash Patel|1980|2|25|3755615
Jason Arday|1985|5|9|3702564
Jannik Sinner|2001|8|16|3693019
XXXTentacion|1998|1|23|3659828
Clint Eastwood|1930|5|31|3583748
Peter Thiel|1967|10|11|3511252
