month_day,month,day,date_label,date_slug,card_code,card_label,rank,suit,solar_value,card_slug,canonical_card_url,birthday_url,record_type,exceptional_day_rule,claim_classification,methodology_url,dataset_version
01-01,1,1,January 1,january-1,K♠,King of Spades,K,spades,52,king-of-spades,https://cardblueprints.com/birth-card/king-of-spades,https://cardblueprints.com/born-on/january-1,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-02,1,2,January 2,january-2,Q♠,Queen of Spades,Q,spades,51,queen-of-spades,https://cardblueprints.com/birth-card/queen-of-spades,https://cardblueprints.com/born-on/january-2,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-03,1,3,January 3,january-3,J♠,Jack of Spades,J,spades,50,jack-of-spades,https://cardblueprints.com/birth-card/jack-of-spades,https://cardblueprints.com/born-on/january-3,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-04,1,4,January 4,january-4,10♠,10 of Spades,10,spades,49,10-of-spades,https://cardblueprints.com/birth-card/10-of-spades,https://cardblueprints.com/born-on/january-4,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-05,1,5,January 5,january-5,9♠,9 of Spades,9,spades,48,9-of-spades,https://cardblueprints.com/birth-card/9-of-spades,https://cardblueprints.com/born-on/january-5,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-06,1,6,January 6,january-6,8♠,8 of Spades,8,spades,47,8-of-spades,https://cardblueprints.com/birth-card/8-of-spades,https://cardblueprints.com/born-on/january-6,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-07,1,7,January 7,january-7,7♠,7 of Spades,7,spades,46,7-of-spades,https://cardblueprints.com/birth-card/7-of-spades,https://cardblueprints.com/born-on/january-7,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-08,1,8,January 8,january-8,6♠,6 of Spades,6,spades,45,6-of-spades,https://cardblueprints.com/birth-card/6-of-spades,https://cardblueprints.com/born-on/january-8,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-09,1,9,January 9,january-9,5♠,5 of Spades,5,spades,44,5-of-spades,https://cardblueprints.com/birth-card/5-of-spades,https://cardblueprints.com/born-on/january-9,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-10,1,10,January 10,january-10,4♠,4 of Spades,4,spades,43,4-of-spades,https://cardblueprints.com/birth-card/4-of-spades,https://cardblueprints.com/born-on/january-10,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-11,1,11,January 11,january-11,3♠,3 of Spades,3,spades,42,3-of-spades,https://cardblueprints.com/birth-card/3-of-spades,https://cardblueprints.com/born-on/january-11,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-12,1,12,January 12,january-12,2♠,2 of Spades,2,spades,41,2-of-spades,https://cardblueprints.com/birth-card/2-of-spades,https://cardblueprints.com/born-on/january-12,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-13,1,13,January 13,january-13,A♠,Ace of Spades,A,spades,40,ace-of-spades,https://cardblueprints.com/birth-card/ace-of-spades,https://cardblueprints.com/born-on/january-13,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-14,1,14,January 14,january-14,K♦,King of Diamonds,K,diamonds,39,king-of-diamonds,https://cardblueprints.com/birth-card/king-of-diamonds,https://cardblueprints.com/born-on/january-14,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-15,1,15,January 15,january-15,Q♦,Queen of Diamonds,Q,diamonds,38,queen-of-diamonds,https://cardblueprints.com/birth-card/queen-of-diamonds,https://cardblueprints.com/born-on/january-15,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-16,1,16,January 16,january-16,J♦,Jack of Diamonds,J,diamonds,37,jack-of-diamonds,https://cardblueprints.com/birth-card/jack-of-diamonds,https://cardblueprints.com/born-on/january-16,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-17,1,17,January 17,january-17,10♦,10 of Diamonds,10,diamonds,36,10-of-diamonds,https://cardblueprints.com/birth-card/10-of-diamonds,https://cardblueprints.com/born-on/january-17,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-18,1,18,January 18,january-18,9♦,9 of Diamonds,9,diamonds,35,9-of-diamonds,https://cardblueprints.com/birth-card/9-of-diamonds,https://cardblueprints.com/born-on/january-18,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-19,1,19,January 19,january-19,8♦,8 of Diamonds,8,diamonds,34,8-of-diamonds,https://cardblueprints.com/birth-card/8-of-diamonds,https://cardblueprints.com/born-on/january-19,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-20,1,20,January 20,january-20,7♦,7 of Diamonds,7,diamonds,33,7-of-diamonds,https://cardblueprints.com/birth-card/7-of-diamonds,https://cardblueprints.com/born-on/january-20,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-21,1,21,January 21,january-21,6♦,6 of Diamonds,6,diamonds,32,6-of-diamonds,https://cardblueprints.com/birth-card/6-of-diamonds,https://cardblueprints.com/born-on/january-21,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-22,1,22,January 22,january-22,5♦,5 of Diamonds,5,diamonds,31,5-of-diamonds,https://cardblueprints.com/birth-card/5-of-diamonds,https://cardblueprints.com/born-on/january-22,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-23,1,23,January 23,january-23,4♦,4 of Diamonds,4,diamonds,30,4-of-diamonds,https://cardblueprints.com/birth-card/4-of-diamonds,https://cardblueprints.com/born-on/january-23,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-24,1,24,January 24,january-24,3♦,3 of Diamonds,3,diamonds,29,3-of-diamonds,https://cardblueprints.com/birth-card/3-of-diamonds,https://cardblueprints.com/born-on/january-24,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-25,1,25,January 25,january-25,2♦,2 of Diamonds,2,diamonds,28,2-of-diamonds,https://cardblueprints.com/birth-card/2-of-diamonds,https://cardblueprints.com/born-on/january-25,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-26,1,26,January 26,january-26,A♦,Ace of Diamonds,A,diamonds,27,ace-of-diamonds,https://cardblueprints.com/birth-card/ace-of-diamonds,https://cardblueprints.com/born-on/january-26,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-27,1,27,January 27,january-27,K♣,King of Clubs,K,clubs,26,king-of-clubs,https://cardblueprints.com/birth-card/king-of-clubs,https://cardblueprints.com/born-on/january-27,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-28,1,28,January 28,january-28,Q♣,Queen of Clubs,Q,clubs,25,queen-of-clubs,https://cardblueprints.com/birth-card/queen-of-clubs,https://cardblueprints.com/born-on/january-28,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
